agency_name,received_in_rp,outstanding_from_prev_rp,statutorytimeline,total_for_rp,closed_in_rp,carried_over_to_rp,media,academia,business,organization,public,declined_to_identify,abandoned_in_rp,neither_confirm_nor_deny,s13exemp,s15exemp,s16exemp,s20exemp,fiscal_year,people_years,total_costs
Agriculture and Agri-Food Canada,140,18,64,158,124,34,46,3,44,12,31,4,19,0,0,16,11,55,2018-2019,6.3,614450
Asia Pacific Foundation of Canada,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2018-2019,1,2500
Atlantic Canada Opportunities Agency,26,0,7,26,16,10,9,0,4,1,8,4,1,0,0,0,1,13,2018-2019,2.2,188054
Atlantic Pilotage Authority Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Atomic Energy of Canada Limited,29,0,22,29,25,4,2,1,3,1,22,0,3,0,0,0,7,0,2018-2019,1.5,235326
Bank of Canada,39,20,16,59,49,10,24,3,6,0,1,5,8,0,22,21,17,39,2018-2019,5.7,686622
Belledune Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
British Columbia Treaty Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Business Development Bank of Canada,14,1,15,15,15,0,6,0,0,0,8,0,0,2,0,0,0,0,2018-2019,1,44937
Canada Border Services Agency,7673,1726,4732,9399,8037,1362,242,162,3502,179,3151,437,657,4,1916,1495,4809,55,2018-2019,25.15,2019314
Canada Council for the Arts,12,1,8,13,12,1,0,1,0,2,4,5,0,0,0,0,1,2,2018-2019,0.21,27406
Canada Deposit Insurance Corporation,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.07,4386
Canada Development Investment Corporation,4,1,1,5,5,0,2,0,0,0,2,0,2,0,1,0,1,7,2018-2019,0.5,56924
Canada Eldor Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Canada Foundation for Innovation,6,0,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.05,8626
Canada GEN Investment Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Canada Hibernia Holding Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Canada Infrastructure Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.3,30600
Canada Lands Company Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.01,1500
Canada Mortgage and Housing Corporation,51,10,27,61,52,9,18,0,3,6,22,2,2,0,0,0,0,22,2018-2019,1.81,292130
Canada Post Corporation,72,18,28,90,67,23,17,0,12,0,43,0,5,0,0,0,7,18,2018-2019,2.6,249728
Canada Revenue Agency,2931,1102,1181,4033,2845,1188,124,59,1079,84,1413,172,589,3,96,25,877,68,2018-2019,52.5,4369785
Canada School of Public Service,25,0,13,25,16,9,2,0,12,1,10,0,0,0,0,0,0,13,2018-2019,1.31,85382
Canada-Newfoundland and Labrador Offshore Petroleum Board,5,4,1,9,8,1,3,1,0,1,0,0,0,0,0,0,1,10,2018-2019,1,102160
Canada-Nova-Scotia Offshore Petroleum Board,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2018-2019,0.5,21776
Canadian Air Transport Security Authority,15,3,7,18,14,4,10,0,2,1,2,0,0,0,1,1,10,8,2018-2019,1.2,120000
Canadian Broadcasting Corporation,127,35,64,162,100,62,18,14,9,2,39,45,13,0,0,0,23,36,2018-2019,6,682878
Canadian Centre for Occupational Health and Safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.01,124
Canadian Commercial Corporation,18,4,14,22,20,2,8,0,2,0,8,0,5,0,2,13,1,5,2018-2019,1.05,167311
Canadian Dairy Commission,2,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,2,2018-2019,0,0
Canadian Environmental Assessment Agency,46,2,28,48,36,12,6,1,26,8,3,2,1,0,1,0,17,23,2018-2019,2.69,254976
Canadian Food Inspection Agency,302,69,175,371,309,62,32,1,165,15,77,12,23,0,30,25,39,225,2018-2019,12.84,1038785
Canadian Grain Commission,5,0,1,5,1,4,2,0,3,0,0,0,0,0,0,0,0,0,2018-2019,0.2,13120
Canadian Heritage,820,222,463,1042,863,179,331,15,174,12,191,97,22,0,32,34,32,110,2018-2019,9.85,895627
Canadian Human Rights Commission,18,4,9,22,20,2,1,0,1,16,0,0,1,3,2,2,1,0,2018-2019,1,91952
Canadian Institutes of Health Research,18,0,11,18,16,2,6,3,0,4,5,0,2,0,0,0,0,8,2018-2019,1,60000
Canadian Museum for Human Rights,3,0,1,3,3,0,2,0,0,0,1,0,1,0,0,0,1,4,2018-2019,0.5,35720
Canadian Museum of History and the Canadian War Museum,11,2,3,13,7,6,0,2,0,0,9,0,0,0,1,0,0,0,2018-2019,1.06,94170
Canadian Museum of Immigration at Pier 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Canadian Museum of Nature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.02,3500
Canadian Northern Economic Development Agency,5,0,1,5,5,0,1,0,1,0,2,1,0,0,0,0,0,0,2018-2019,0.02,11190
Canadian Nuclear Safety Commission,248,36,191,284,261,23,4,1,23,200,16,4,10,0,15,27,18,82,2018-2019,3.4,253149
Canadian Race Relations Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.02,2000
Canadian Radio-television and Telecommunications Commission,31,12,13,43,39,4,5,4,1,0,20,1,3,0,1,0,4,25,2018-2019,3.3,223209
Canadian Security Intelligence Service,1146,143,947,1289,1181,108,102,95,368,15,513,53,52,144,72,757,692,1,2018-2019,7.5,638821
Canadian Space Agency,33,1,20,34,29,5,10,11,3,0,4,5,6,1,0,3,0,6,2018-2019,0.7,55910
Canadian Transportation Agency,32,1,19,33,24,9,2,1,20,1,8,0,3,0,0,0,0,17,2018-2019,2,106931
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,22,7,8,29,25,4,4,0,0,2,1,15,0,0,4,0,35,0,2018-2019,0.43,41236
Communication Security Establishment,66,70,26,136,61,75,45,9,0,1,9,2,2,7,0,48,12,0,2018-2019,5.03,475354
Copyright Board Canada,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2018-2019,0.25,13838
Correctional Service of Canada,452,403,168,855,408,447,104,8,59,15,266,0,105,0,6,4,66,65,2018-2019,15,644418
Crown-Indigenous Relations and Northern Affairs Canada,389,111,143,500,344,156,77,68,65,24,132,23,48,0,10,5,16,101,2018-2019,9.2,642084
Defence Construction Canada,20,3,13,23,20,3,0,0,17,2,1,0,3,0,0,0,1,13,2018-2019,1.5,138813
Department for Women and Gender Equality,24,4,3,28,11,17,15,1,2,3,3,0,0,0,0,2,0,5,2018-2019,1.75,141227
Department of Finance Canada,1724,279,736,2003,1598,405,879,27,435,19,116,248,58,0,97,225,436,407,2018-2019,12.75,922144
Department of Justice Canada,886,237,508,1123,797,326,355,38,67,21,229,176,64,0,29,37,24,22,2018-2019,23.08,2250999
Destination Canada,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2018-2019,0.1,12000
Economic Development Agency of Canada for the Regions of Quebec,19,1,18,20,20,0,5,1,6,3,4,0,2,0,1,0,0,7,2018-2019,1.29,111159
Elections Canada,31,11,21,42,31,11,7,0,15,1,5,3,1,0,0,1,7,12,2018-2019,2.05,212774
Employment and Social Development Canada,1409,414,866,1823,1509,314,429,26,332,140,350,132,226,1,12,68,156,164,2018-2019,19.48,1521865
Environment and Climate Change Canada,1794,449,1239,2243,1719,524,160,13,1377,85,89,70,90,3,18,42,115,128,2018-2019,16,1207760
Exinvest Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.02,721
Export Development Canada,35,4,21,39,36,3,17,0,13,2,3,0,4,0,5,11,8,16,2018-2019,6.34,199769
Farm Credit Canada,6,0,4,6,5,1,0,0,3,0,3,0,1,0,0,0,0,0,2018-2019,0.5,25000
Farm Products Council of Canada,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2018-2019,0.05,1370
Federal Bridge Corporation Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.05,0
Federal Economic Development Agency for Southern Ontario,27,4,23,31,28,3,2,1,18,0,3,3,2,0,0,0,0,7,2018-2019,0.98,93233
Federal Public Service Health Care Plan Administration Authority,5,0,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,2018-2019,0.03,1500
Financial Consumer Agency of Canada,8,0,4,8,5,3,2,0,0,0,2,4,1,0,0,0,0,0,2018-2019,1,136402
Financial Transactions and Reports Analysis Centre of Canada,79,11,48,90,75,15,32,3,29,0,15,0,7,6,14,30,72,28,2018-2019,1.5,176560
First Nations Financial Management Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,3.1,3625
First Nations Tax Commission,3,0,2,3,3,0,2,0,1,0,0,0,0,0,1,0,0,0,2018-2019,0.22,67786
Fisheries and Oceans Canada,491,88,291,579,495,84,79,10,174,50,94,84,38,1,13,26,179,205,2018-2019,22.44,2099497
Freshwater Fish Marketing Corporation,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2018-2019,0.1,14132
Global Affairs Canada,1308,408,317,1716,1245,471,671,85,103,36,173,240,128,6,209,630,88,344,2018-2019,49.97,4168389
Great Lakes Pilotage Authority,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.05,4000
Gwich'in Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Gwich'in Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Halifax Port Authority,6,0,1,6,6,0,5,0,0,0,0,1,0,0,0,0,0,3,2018-2019,1.05,50000
Hamilton Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.01,1650
Health Canada,1942,1610,712,3552,2255,1297,513,54,831,96,259,189,377,53,87,78,143,562,2018-2019,76.43,7690019
Historic Sites and Monuments Board of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Immigration and Refugee Board,225,19,165,244,210,34,5,20,177,2,21,0,20,0,0,1,17,0,2018-2019,2.1,178000
Immigration Refugees and Citizenship Canada,82387,12506,48754,94893,83895,10998,395,2060,47543,3760,23143,5486,6146,3,3620,27442,16615,110,2018-2019,74.68,4847695
Indigenous Services Canada,499,50,166,549,395,154,149,86,71,19,105,69,31,0,8,0,23,76,2018-2019,9.2,642084
Ingenium - Canada's Museum of Science and Innovation,2,3,4,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,2018-2019,0.13,7800
Innovation Science and Economic Development Canada,1110,379,707,1489,1228,261,601,32,161,59,75,182,76,0,21,91,65,317,2018-2019,15.8,1251336
International Development Research Centre,3,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2018-2019,0.75,3000
Jacques Cartier and Champlain Bridges Incorporated,3,0,1,3,2,1,2,0,0,0,1,0,0,0,0,0,2,7,2018-2019,0.15,23701
Laurentian Pilotage Authority Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Library and Archives of Canada,1384,404,992,1788,1278,510,39,554,43,54,415,279,124,0,35,44,6,16,2018-2019,38.34,2473005
Mackenzie Valley Environmental Impact Review Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.02,567
Mackenzie Valley Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Marine Atlantic Inc,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2018-2019,0,2760
Military Grievances External Review Committee,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2018-2019,0.1,5948
Military Police Complaints Commission,16,0,12,16,13,3,0,0,15,0,1,0,0,0,0,0,1,2,2018-2019,0.29,19420
Montreal Port Authority,4,3,0,7,7,0,0,0,2,0,2,0,3,0,0,0,1,0,2018-2019,0.2,27000
Nanaimo Port Authority,3,0,0,3,2,1,2,0,0,0,1,0,0,0,0,0,0,1,2018-2019,1,5000
National Arts Centre,8,0,2,8,2,6,2,0,6,0,0,0,0,0,0,0,0,0,2018-2019,0.1,14200
National Capital Commission,82,23,37,105,92,13,35,8,1,4,29,5,10,1,0,3,34,43,2018-2019,3.02,338470
National Defence,2275,1256,1222,3531,2518,1013,465,97,204,89,1267,153,717,1,108,497,172,418,2018-2019,50.76,4725119
National Energy Board,20,12,9,32,22,10,4,5,5,0,6,0,1,0,3,2,5,8,2018-2019,5.55,512596
National Film Board of Canada,6,0,2,6,5,1,0,1,1,0,3,1,0,0,0,0,0,1,2018-2019,0.6,37043
National Gallery of Canada,21,1,6,22,22,0,11,1,0,0,2,7,7,0,0,0,6,9,2018-2019,0.63,94766
National Research Council of Canada,23,7,10,30,24,6,8,2,4,3,4,2,2,0,0,0,2,23,2018-2019,1.59,153513
Natural Resources Canada,317,97,113,414,297,117,83,6,50,39,43,96,28,0,15,46,45,116,2018-2019,11.45,1118593
Natural Sciences and Engineering Research Council of Canada,26,3,4,29,13,16,0,0,12,6,8,0,4,0,0,0,5,11,2018-2019,2.26,209095
"Non-Public Property and Staff of the Non-Public Funds, Canadian Forces",7,3,7,10,9,1,1,0,1,0,4,1,1,0,0,0,0,0,2018-2019,0.5,60241
Northern Pipeline Agency Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Nunavut Impact Review Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.1,14409
Nunavut Planning Commission,2,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2018-2019,0,21738
Nunavut Surface Rights Tribunal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Nunavut Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.01,1000
Office of Infrastructure of Canada,122,58,64,180,154,26,71,4,4,27,13,3,25,0,19,2,11,66,2018-2019,5.96,429517
Office of the Administrator of the Ship-source Oil Pollution Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.02,1671
Office of the Auditor General of Canada,7,8,8,15,15,0,0,1,0,0,6,0,5,0,0,0,1,3,2018-2019,1.25,167075
Office of the Commissioner of Lobbying,2,0,1,2,2,0,0,0,0,2,0,0,0,1,0,0,3,0,2018-2019,0.1,28839
Office of the Commissioner of Official Languages,18,2,13,20,18,2,0,0,11,1,5,1,1,0,0,0,4,0,2018-2019,3,27500
Office of the Correctional Investigator of Canada,39,2,16,41,39,2,2,0,3,0,34,0,1,0,0,0,3,0,2018-2019,0.48,45014
Office of the Information Commissioner of Canada,62,1,54,63,60,3,12,1,7,3,39,0,2,0,0,0,17,8,2018-2019,1.37,104303
Office of the Ombudsman for the Department of National Defence and the Canadian Forces,2,0,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2018-2019,0.18,27548
Office of the Privacy Commissioner of Canada,49,8,31,57,47,10,15,0,19,1,12,2,4,0,2,5,21,23,2018-2019,1.9,162729
Office of the Public Sector Integrity Commissioner of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.09,22475
Office of the Superintendent of Financial Institutions Canada,33,13,15,46,34,12,7,0,17,1,8,0,3,0,7,5,12,52,2018-2019,4.6,389281
Old Port of Montreal,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2018-2019,0.05,5000
Oshawa Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Pacific Pilotage Authority Canada,6,0,5,6,6,0,0,1,1,0,4,0,0,0,0,0,0,0,2018-2019,0.01,1800
Parc Downsview Park Inc.,2,1,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,7,2018-2019,0.2,22000
Parks Canada Agency,237,35,146,272,243,29,22,4,62,15,80,54,10,0,2,0,38,57,2018-2019,11,1092005
Parole Board of Canada,35,1,34,36,35,1,8,0,5,12,10,0,1,0,0,0,2,5,2018-2019,0.7,51122
Patented Medicine Prices Review Board,17,1,13,18,17,1,2,0,2,11,2,0,0,0,0,0,0,2,2018-2019,1,50000
Pierre Eliott Trudeau Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.1,3025
Polar Knowledge Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Port Alberni Port Authority,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2018-2019,0.75,50517
Prince Rupert Port Authority,4,0,0,4,1,3,0,0,1,3,0,0,0,0,0,0,1,2,2018-2019,0.4,35000
Privy Council Office,578,279,234,857,632,225,300,66,51,69,92,0,34,1,54,253,243,238,2018-2019,30,2140209
Public Health Agency of Canada,99,70,54,169,109,60,27,5,14,3,33,17,22,1,11,8,23,40,2018-2019,3.61,371713
Public Prosecution Service of Canada,54,6,30,60,42,18,25,3,6,3,7,10,3,2,2,1,7,3,2018-2019,2.45,217213
Public Safety Canada,473,93,260,566,467,99,197,23,11,24,44,174,35,0,59,206,180,66,2018-2019,11.78,986644
Public Sector Pension Investment Board,6,3,2,9,6,3,3,0,1,0,0,2,2,0,0,0,0,3,2018-2019,0.66,56502
Public Service Commission of Canada,75,6,64,81,77,4,11,2,17,2,40,3,15,0,0,0,5,12,2018-2019,1.99,148018
Public Services and Procurement Canada,1144,328,543,1472,1178,294,355,14,220,50,300,205,132,1,7,67,56,431,2018-2019,33.91,4029347
Quebec Port Authority,10,0,4,10,10,0,4,0,0,3,3,0,3,0,0,0,0,3,2018-2019,0.1,11000
RCMH-MRCF Inc. (Royal Canadian Mint),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Revera Inc. (Public Sector Pension Investment Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.1,20200
Ridley Terminals Inc.,7,0,0,7,0,7,0,0,0,0,7,0,0,0,0,0,0,0,2018-2019,0.05,13900
Royal Canadian Mint,12,6,6,18,13,5,1,1,1,2,2,5,2,0,0,0,1,10,2018-2019,1.35,116350
Royal Canadian Mounted Police,4436,3428,1101,7864,4176,3688,305,80,940,152,2618,341,862,23,346,26,1047,27,2018-2019,37,2978085
Royal Canadian Mounted Police External Review Committee,4,0,4,4,4,0,1,0,0,0,3,0,0,0,0,0,0,0,2018-2019,0.05,6000
Saguenay Port Authority,2,0,1,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,2018-2019,0.02,2000
Sahtu Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Sahtu Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Saint John Port Authority,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,2018-2019,1,78000
Seaway International Bridge Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.05,0
Security Intelligence Review Committee,3,0,0,3,1,2,1,0,1,0,1,0,0,0,0,0,1,0,2018-2019,2,60638
Sept-Ãles Port Authority,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2018-2019,0.1,11500
Shared Services Canada,312,42,210,354,332,22,139,3,53,5,73,39,22,0,0,15,84,113,2018-2019,14.75,1200098
Social Sciences and Humanities Research Council,36,0,25,36,29,7,2,6,15,1,12,0,0,0,0,0,2,15,2018-2019,0.8,68883
St. John's Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Standards Council of Canada,89,24,24,113,91,22,32,4,51,0,2,0,0,0,40,22,29,32,2018-2019,2.25,377869
Statistics Canada,154,12,104,166,128,38,30,14,19,5,86,0,9,0,0,1,9,28,2018-2019,1.06,88204
Sustainable Development Technology Canada,7,0,5,7,6,1,4,0,3,0,0,0,4,1,0,0,0,3,2018-2019,0.4,71611
Telefilm Canada,2,9,0,11,10,1,0,0,2,0,0,0,1,0,8,8,1,10,2018-2019,0.86,71046
The Fund for Railway Accidents Involving Designated Goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.02,1699
The National Battlefields Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Thunder Bay Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.01,250
Toronto Port Authority,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2018-2019,0.3,2500
Transport Canada,1076,414,612,1490,1080,410,396,23,228,65,214,150,221,1,42,126,162,339,2018-2019,19.38,1504006
Transportation Safety Board of Canada,88,15,45,103,73,30,16,2,47,3,20,0,4,0,6,0,8,43,2018-2019,4.18,368021
Treasury Board of Canada Secretariat,564,150,175,714,518,196,283,11,43,31,111,85,31,0,0,30,40,89,2018-2019,15.81,939864
Trois-RiviÃ¨res Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Vancouver Fraser Port Authority,9,1,7,10,9,1,1,0,3,0,5,0,0,0,0,0,1,4,2018-2019,1.1,45000
Veterans Affairs Canada,364,23,286,387,349,38,50,3,26,9,249,27,26,1,0,0,42,37,2018-2019,8.49,649767
Veterans Review and Appeal Board,8,0,6,8,6,2,1,0,0,0,5,2,0,0,0,0,0,0,2018-2019,0.75,53087
VIA Rail Canada,21,3,7,24,18,6,10,0,4,0,7,0,0,0,0,0,3,7,2018-2019,0.5,51650
Western Economic Diversification Canada,15,0,3,15,10,5,8,0,3,3,1,0,1,0,1,0,0,11,2018-2019,1.1,99051
Windsor Port Authority,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Windsor-Detroit Bridge Authority,3,3,0,6,0,6,0,0,2,0,1,0,0,0,0,0,0,0,2018-2019,0.45,27041
Yukon Environment Socio-Economic Assessment Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,1,0
Yukon Surface Rights Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
